uid;cardNumber;state;cardType
041EF21AE66C81;M0001;active;Militar
04E6071AE66C84;M0002;active;Militar
043DA91AE66C81;M0003;active;Militar
044FF41AE66C81;M0004;active;Militar
0412FD1AE66C81;M0005;active;Militar
048CA91AE66C81;M0006;active;Militar
04E8C31AE66C80;M0007;active;Militar
0449A91AE66C81;M0008;active;Militar
0489E21AE66C80;M0009;active;Militar
04ECFD1AE66C80;M0010;active;Militar
0467A91AE66C81;M0011;active;Militar
0475A91AE66C81;M0012;active;Militar
0496F21AE66C80;M0013;active;Militar
048EF21AE66C80;M0014;active;Militar
04098E1AE66C81;M0015;active;Militar
04019F1AE66C81;M0016;active;Militar
044AA91AE66C81;M0017;active;Militar
0424061AE66C85;M0018;active;Militar
0470991AE66C80;M0019;active;Militar
04D5F21AE66C80;M0020;active;Militar
04CAFD1AE66C80;M0021;active;Militar
047BE21AE66C80;M0022;active;Militar
04158E1AE66C81;M0023;active;Militar
0412C31AE66C81;M0024;active;Militar
0477A91AE66C81;M0025;active;Militar
04E49A1AE66C80;M0026;active;Militar
046AF21AE66C80;M0027;active;Militar
0417F21AE66C81;M0028;active;Militar
047CCA1AE66C81;M0029;active;Militar
04238D1AE66C80;M0030;active;Militar
044DA91AE66C81;M0031;active;Militar
04339F1AE66C80;M0032;active;Militar
04D9C31AE66C80;M0033;active;Militar
0450E61AE66C80;M0034;active;Militar
04CE9F1AE66C80;M0035;active;Militar
0407FD1AE66C81;M0036;active;Militar
04BFA91AE66C80;M0037;active;Militar
040F8E1AE66C81;M0038;active;Militar
04B99F1AE66C80;M0039;active;Militar
04009A1AE66C81;M0040;active;Militar
0470E21AE66C80;M0041;active;Militar
042EF61AE66C81;M0042;active;Militar
04308D1AE66C80;M0043;active;Militar
04CB9F1AE66C80;M0044;active;Militar
0455991AE66C80;M0045;active;Militar
04FB9A1AE66C80;M0046;active;Militar
0475FA1AE66C80;M0047;active;Militar
0431E21AE66C80;M0048;active;Militar
0457E21AE66C80;M0049;active;Militar
04F29A1AE66C80;M0050;active;Militar
04B8A91AE66C80;M0051;active;Militar
04D49F1AE66C80;M0052;active;Militar
04E68E1AE66C80;M0053;active;Militar
044DE21AE66C80;M0054;active;Militar
0426F21AE66C81;M0055;active;Militar
04E89F1AE66C80;M0056;active;Militar
04E6C31AE66C80;M0057;active;Militar
044AE81AE66C81;M0058;active;Militar
04A3FA1AE66C80;M0059;active;Militar
0418FD1AE66C81;M0060;active;Militar
04699E1AE66C80;M0061;active;Militar
04AC9F1AE66C80;M0062;active;Militar
04F4C31AE66C80;M0063;active;Militar
045BA91AE66C81;M0064;active;Militar
04348E1AE66C81;M0065;active;Militar
